Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
579.1856108,-0.004788403,0.165199921,9.749189377
579.2356108,-0.023942016,0.16759412,9.746794701
579.2856108,-0.023942016,0.155623108,9.739612579
579.3356108,-0.021547815,0.177170932,9.765948296
579.3856108,-0.023942016,0.155623108,9.749189377
579.4356108,-0.026336219,0.165199921,9.749189377
579.4856108,-0.021547815,0.16759412,9.751583099
579.5356108,-0.016759412,0.160411507,9.763554573
579.5856108,-0.019153614,0.174776718,9.749189377
579.6356108,-0.016759412,0.16759412,9.765948296
579.6856108,-0.019153614,0.16759412,9.756371498
579.7356108,-0.02873042,0.179565132,9.751583099
579.7856108,-0.023942016,0.16759412,9.758766174
579.8356108,-0.016759412,0.177170932,9.753977776
579.8856108,-0.02873042,0.174776718,9.753977776
579.9356108,-0.023942016,0.160411507,9.756371498
579.9856108,-0.026336219,0.16759412,9.763554573
580.0356108,-0.023942016,0.16759412,9.761159897
580.0856108,-0.031124622,0.172382519,9.753977776
580.1356108,-0.019153614,0.16759412,9.765948296
580.1856108,-0.031124622,0.169988319,9.753977776
580.2356108,-0.035913024,0.160411507,9.749189377
580.2856108,-0.019153614,0.179565132,9.763554573
580.3356108,-0.02873042,0.160411507,9.749189377
580.3856108,-0.026336219,0.172382519,9.763554573
580.4356108,-0.031124622,0.169988319,9.758766174
580.4856108,-0.02873042,0.179565132,9.739612579
580.5356108,-0.031124622,0.162805721,9.751583099
580.5856108,-0.019153614,0.169988319,9.756371498
580.6356108,-0.023942016,0.169988319,9.758766174
580.6856108,-0.023942016,0.177170932,9.761159897
580.7356108,-0.023942016,0.165199921,9.756371498
580.7856108,-0.011971008,0.179565132,9.746794701
580.8356108,-0.026336219,0.162805721,9.777919769
580.8856108,-0.02873042,0.158017308,9.768342972
580.9356108,-0.023942016,0.16759412,9.756371498
580.9856108,-0.016759412,0.177170932,9.763554573
581.0356108,-0.01436521,0.174776718,9.749189377
