Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
566.9856108,0,-0.000610865,-0.000610865
567.0356108,0.002443461,0.000610865,0
567.0856108,0,0,0.000610865
567.1356108,0,0.00122173,0
567.1856108,0.000610865,0.000610865,0
567.2356108,0,-0.000610865,0.000610865
567.2856108,0.00122173,0.002443461,-0.000610865
567.3356108,0.000610865,-0.000610865,0
567.3856108,0.000610865,-0.000610865,0
567.4356108,0,0.000610865,0.000610865
567.4856108,0.00122173,0,0
567.5356108,0,0.00122173,0
567.5856108,0.000610865,0.000610865,0
567.6356108,0.000610865,-0.000610865,0
567.6856108,0.001832596,0,0.00122173
567.7356108,0.002443461,0.000610865,0
567.7856108,0.000610865,-0.000610865,0
567.8356108,0.001832596,0.000610865,0.000610865
567.8856108,0.001832596,0.000610865,0.000610865
567.9356108,0.00122173,0.000610865,-0.000610865
567.9856108,0.00122173,0.001832596,0.000610865
568.0356108,-0.000610865,-0.00122173,0
568.0856108,0.00122173,-0.000610865,0.000610865
568.1356108,0,0.001832596,0.00122173
568.1856108,-0.00122173,0.00122173,0
568.2356108,-0.000610865,0.000610865,-0.000610865
568.2856108,0.001832596,0,-0.000610865
568.3356108,-0.000610865,0,-0.000610865
568.3856108,-0.00122173,-0.000610865,0
568.4356108,-0.000610865,0.00122173,-0.00122173
568.4856108,0,0.000610865,-0.00122173
568.5356108,0.000610865,0.000610865,-0.000610865
568.5856108,0.000610865,0.00122173,-0.00122173
568.6356108,0.000610865,0.00122173,0
568.6856108,0.001832596,0.000610865,0
568.7356108,-0.00122173,0.000610865,0
568.7856108,0.00122173,0,-0.000610865
568.8356108,-0.000610865,-0.000610865,-0.00122173
568.8856108,-0.000610865,-0.000610865,-0.000610865
568.9356108,0.000610865,-0.000610865,-0.00122173
568.9856108,0.000610865,-0.000610865,-0.000610865
569.0356108,-0.003054326,-0.000610865,-0.00122173
569.0856108,0,0,0
569.1356108,0.000610865,0.000610865,-0.000610865
569.1856108,-0.00122173,-0.000610865,0
569.2356108,-0.000610865,-0.001832596,-0.000610865
569.2856108,-0.001832596,0.00122173,-0.00122173
569.3356108,0,0.00122173,-0.000610865
569.3856108,0,0.000610865,0.000610865
569.4356108,0.00122173,0.001832596,0.000610865
569.4856108,0.000610865,-0.00122173,-0.00122173
569.5356108,-0.000610865,0.000610865,-0.00122173
569.5856108,0,0.000610865,-0.000610865
569.6356108,0.000610865,0.000610865,-0.000610865
569.6856108,0,-0.000610865,0
569.7356108,0.000610865,-0.000610865,0.000610865
569.7856108,-0.000610865,0,0.000610865
569.8356108,0.00122173,0.000610865,0
569.8856108,0.000610865,0,0
569.9356108,-0.001832596,-0.000610865,0
569.9856108,-0.000610865,0.000610865,0
570.0356108,0.001832596,0.000610865,0
570.0856108,-0.00122173,0,-0.00122173
570.1356108,0.000610865,-0.00122173,0.000610865
570.1856108,-0.000610865,-0.000610865,-0.000610865
570.2356108,0.000610865,-0.00122173,0
